Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Fx,Fy,Fz,Mx,My,Mz,Extra 1,Extra 2
s,N,N,N,N,N,N,N,N,N,N,N,Nm,Nm,Nm,N,N
3.2,-0.126975,20.5029,20.9181,2.2813,2.80239,-3.33579,5.8476,11.536,20.3759,23.1994,16.8502,-1.03023,-0.354796,1.74532,0,0
3.3,0.51542,20.5376,21.721,3.74037,3.12794,-3.40652,5.26417,11.1911,21.053,25.4614,16.1767,-0.962198,-0.373843,1.69069,0,0
3.4,-0.598145,19.7621,22.3499,3.34189,2.90898,-3.28118,7.08248,11.9187,19.1639,25.6918,18.629,-1.11397,-0.330793,1.74095,0,0
3.5,1.60653,16.2623,19.9523,7.86874,2.6741,-2.42004,5.24728,10.4791,17.8688,27.821,15.9804,-0.889657,-0.309778,1.20521,0,0
3.6,1.01722,19.5907,19.2714,3.61099,2.82669,-3.14069,5.82232,11.7597,20.6079,22.8824,17.268,-1.02902,-0.357144,1.53779,0,0
3.7,-0.111498,16.9403,22.8197,4.72641,2.65459,-3.03497,6.69588,9.91309,16.8288,27.5461,16.2286,-0.976888,-0.267203,1.52328,0,0
3.8,0.942884,19.3158,21.0927,6.00488,3.08707,-2.24391,4.47072,10.7334,20.2587,27.0975,16.0472,-0.825753,-0.347809,1.50907,0,0
3.9,0.753457,16.398,21.8085,7.38874,2.69743,-2.34778,5.33643,10.0733,17.1514,29.1973,15.7594,-0.865956,-0.293462,1.33215,0,0
4,0.497981,17.7051,20.593,5.76117,2.63181,-2.49329,5.06777,10.304,18.2031,26.3542,15.5103,-0.875914,-0.310841,1.43437,0,0
4.1,-0.381252,15.2121,18.3204,2.63083,2.51083,-2.75443,6.03256,9.61489,14.8309,20.9512,15.4039,-0.913735,-0.265428,1.36731,0,0
4.2,1.46419,17.8215,19.8627,7.01991,2.86353,-2.17612,4.97535,10.898,19.2857,26.8826,16.5608,-0.873194,-0.32887,1.32583,0,0
4.3,0.864955,19.2286,20.9724,6.33915,3.05089,-2.77721,4.87595,11.3085,20.0935,27.3116,16.4581,-0.91487,-0.36782,1.49491,0,0
4.4,-0.336565,19.4213,23.0949,4.84368,2.85873,-2.85132,5.68564,10.8843,19.0847,27.9386,16.5774,-0.952346,-0.327262,1.68361,0,0
4.5,-0.146593,16.3207,21.8248,3.68489,2.23639,-3.2317,7.76934,10.5887,16.1741,25.5096,17.3628,-1.11282,-0.248625,1.49106,0,0
4.6,0.508336,15.832,19.2,5.42733,2.77307,-2.07912,5.50417,10.1197,16.3403,24.6274,16.3179,-0.858473,-0.284033,1.29429,0,0
4.7,1.2013,19.8181,21.0322,5.44935,3.04936,-2.83203,5.04194,11.3571,21.0194,26.4815,16.6164,-0.930449,-0.365897,1.53795,0,0
4.8,0.0196184,19.0877,21.6066,4.93567,3.08304,-2.27727,5.09796,10.1445,19.1073,26.5422,16.0482,-0.830108,-0.312205,1.59654,0,0
4.9,0.134495,16.6489,20.9611,6.51997,2.60184,-2.35149,4.76619,9.76094,16.7834,27.4811,14.7775,-0.820915,-0.298442,1.38281,0,0
5,0.524684,18.1766,21.1541,6.11071,2.98658,-2.234,4.62461,10.2154,18.7013,27.2648,15.5926,-0.810029,-0.324342,1.46629,0,0
5.1,0.234767,17.2926,18.7111,3.43999,2.70244,-2.69786,5.44401,10.4062,17.5273,22.1511,15.8548,-0.911122,-0.310874,1.43896,0,0
5.2,0.733076,17.0041,18.1139,3.02538,2.28522,-3.28565,5.3978,10.2104,17.7371,21.1393,14.6078,-0.954997,-0.311505,1.38824,0,0
5.3,0.251007,15.504,18.7027,5.23747,2.59737,-2.2801,3.98854,8.62776,15.755,23.9402,12.9336,-0.707194,-0.285501,1.28101,0,0
5.4,0.545393,15.7987,17.1732,3.0777,2.42419,-2.83094,5.67627,10.0114,16.3441,20.2509,15.2809,-0.925429,-0.287708,1.29993,0,0
5.5,-0.537763,17.8798,18.7232,2.21906,2.77699,-2.4898,4.55682,9.54176,17.342,20.9423,14.3858,-0.794155,-0.307552,1.55413,0,0
5.6,1.1346,15.4162,20.024,7.33893,2.50517,-2.05383,4.30472,8.83059,16.5508,27.3629,13.5866,-0.729329,-0.272546,1.20174,0,0
5.7,-0.52512,16.9795,20.5188,4.53153,2.76239,-2.49917,5.99267,10.4091,16.4544,25.0504,16.665,-0.927968,-0.29034,1.48614,0,0
5.8,-0.367519,19.7589,20.9477,2.57078,3.16554,-2.71824,4.3166,9.72018,19.3914,23.5185,14.4841,-0.781395,-0.338621,1.70858,0,0
5.9,0.199781,15.6174,20.6024,6.55169,2.59792,-2.3104,5.23911,9.67941,15.8172,27.1541,15.206,-0.841282,-0.280459,1.30803,0,0
6,-0.879778,17.5423,21.0629,3.93077,2.53056,-3.11465,6.98504,11.1133,16.6625,24.9937,17.5143,-1.07424,-0.293204,1.57323,0,0
6.1,0.375584,14.2287,20.4753,7.40062,2.01841,-2.23073,6.88204,10.5474,14.6043,27.876,17.2171,-1.0144,-0.237435,1.1888,0,0
6.2,0.00196184,16.2453,20.5832,4.64706,2.54702,-2.44729,5.90809,9.70753,16.2472,25.2303,15.7154,-0.892164,-0.263812,1.41208,0,0
6.3,-0.586046,16.714,21.6583,4.83202,2.51083,-2.50702,6.7652,10.5871,16.128,26.4903,17.3561,-0.997538,-0.265192,1.49954,0,0
